Text,Label,Language
Du bist ein verdammtes Arschloch.,Harmful,German
Deine Mutter ist eine billige Schlampe.,Harmful,German
Dein Vater ist ein Hurensohn.,Harmful,German
"Du kleiner Wichser, halt die Fresse.",Harmful,German
Du bist ein fettes Stück Scheiße.,Harmful,German
Ich pisse auf deine dumme Fresse.,Harmful,German
"Du stinkst wie Kacke, du Bastard.",Harmful,German
Deine Freundin ist eine dreckige Nutte.,Harmful,German
"Du dummer Pisser, verschwinde einfach.",Harmful,German
Dein Gesicht sieht aus wie Hackfresse.,Harmful,German
"Geh zurück in das Loch, aus dem du gekrochen bist, du Fotze.",Harmful,German
Ich scheiß auf deinen Arsch.,Harmful,German
Du bist ein hässlicher kleiner Lümel.,Harmful,German
Deine Schwester ist ein billiges Flittchen.,Harmful,German
Du bist so dumm wie ein Popel.,Harmful,German
Deine Familie ist ein Haufen Scheißer.,Harmful,German
Ich ficke auf deine Meinung.,Harmful,German
Du bist nur ein kleiner Schwanzlutscher.,Harmful,German
"Geh wichsen, du Penner.",Harmful,German
Deine Mutter saugt wie eine Möse.,Harmful,German
Ich scheiß auf deinen Orgasmus.,Harmful,German
Du bist ein lächerlicher Vollpfosten.,Harmful,German
"Geh pinkeln, bevor du hier redest, du Depp.",Harmful,German
Deine Fresse erinnert mich an eine Rosette.,Harmful,German
Du bist so widerlich wie eine Kackwurst.,Harmful,German
"Halt dein dreckiges Maul, du Pimmel.",Harmful,German
"Ich hoffe, du erstickst an deinem eigenen Popel.",Harmful,German
Deine Freundin bumst jeden in der Stadt.,Harmful,German
Deine Eltern sind nur ein Fehler der Natur.,Harmful,German
Du bist so nutzlos wie ein Poppen im Regen.,Harmful,German
Deine Mutter lutscht Schwanz für Kleingeld.,Harmful,German
"Ich wichse lieber, als dir zuzuhören.",Harmful,German
Dein ganzes Leben ist ein Porno für Verlierer.,Harmful,German
Du bist ein dreckiger kleiner Fickkopf.,Harmful,German
Deine Freundin hat Möpse wie Gummi.,Harmful,German
Du bist einfach nur ein Stück Scheiße.,Harmful,German
Deine Schwester bumst für einen Döner.,Harmful,German
"Du bist ein trauriges, wichsendes Arschloch.",Harmful,German
Deine ganze Familie stinkt nach Pisse.,Harmful,German
Du bist ein kleiner Schwanz mit Beinen.,Harmful,German
Ich pinkel auf dein Grab.,Harmful,German
Dein Gesicht sieht aus wie eine verbrannte Möse.,Harmful,German
"Ich hoffe, du erstickst an deinem eigenen Sperma.",Harmful,German
"Du bist ein stinkender, wixerischer Versager.",Harmful,German
Deine Mutter bumst für eine Zigarette.,Harmful,German
Du bist so nackt wie dein Hirn.,Harmful,German
Deine Schwester macht es jedem für Geld.,Harmful,German
Du bist ein erbärmlicher Schwanzlutscher.,Harmful,German
Dein Kopf ist leer wie ein Porno-Drehbuch.,Harmful,German
Deine ganze Familie ist Müll.,Harmful,German
Ich wünsche dir einen schönen Tag.,Non-Harmful,German
Das Wetter ist heute sehr schön.,Non-Harmful,German
Ich trinke gerne Kaffee am Morgen.,Non-Harmful,German
Meine Familie liebt Ausflüge ins Grüne.,Non-Harmful,German
Ich lese gerne Bücher in meiner Freizeit.,Non-Harmful,German
Kinder sind unsere Zukunft.,Non-Harmful,German
Ich höre gerne ruhige Musik.,Non-Harmful,German
Sie hat eine sehr nette Stimme.,Non-Harmful,German
Ich esse am liebsten Pizza.,Non-Harmful,German
Der Himmel ist heute besonders blau.,Non-Harmful,German
"Ich liebe es, durch den Park zu spazieren.",Non-Harmful,German
Sport hält den Körper gesund.,Non-Harmful,German
Ich schaue mir gerne Filme an.,Non-Harmful,German
"Ich mag Tiere, besonders Katzen.",Non-Harmful,German
Freunde machen das Leben schöner.,Non-Harmful,German
Ich trinke jeden Morgen Tee.,Non-Harmful,German
Meine Oma backt die besten Kuchen.,Non-Harmful,German
Ich gehe gerne schwimmen.,Non-Harmful,German
Lesen bildet den Geist.,Non-Harmful,German
Ich liebe den Duft von frischem Brot.,Non-Harmful,German
Musik macht glücklich.,Non-Harmful,German
Ich lerne gerne neue Sprachen.,Non-Harmful,German
Saubere Luft ist wichtig für die Gesundheit.,Non-Harmful,German
Blumen machen jeden Raum schöner.,Non-Harmful,German
Ein Lächeln kostet nichts.,Non-Harmful,German
Ich besuche gerne Museen.,Non-Harmful,German
Das Meer hat eine beruhigende Wirkung.,Non-Harmful,German
Ich mag Spaziergänge im Wald.,Non-Harmful,German
Ich genieße meinen Urlaub am See.,Non-Harmful,German
Ich schreibe gerne Geschichten.,Non-Harmful,German
Kinderlachen macht mich glücklich.,Non-Harmful,German
"Ich liebe es, neue Städte zu entdecken.",Non-Harmful,German
Eine Tasse Kaffee macht den Morgen besser.,Non-Harmful,German
Ich male gerne in meiner Freizeit.,Non-Harmful,German
Ich freue mich auf den Frühling.,Non-Harmful,German
Kuchen schmeckt immer gut.,Non-Harmful,German
Ich spiele gerne Gesellschaftsspiele.,Non-Harmful,German
Bücher sind gute Freunde.,Non-Harmful,German
Ich finde Sonnenuntergänge wunderschön.,Non-Harmful,German
Ich mag ruhige Abende zu Hause.,Non-Harmful,German
Ich höre gerne klassische Musik.,Non-Harmful,German
Ich schätze gute Gespräche mit Freunden.,Non-Harmful,German
Ich gehe gern ins Theater.,Non-Harmful,German
Ich koche gerne neue Rezepte.,Non-Harmful,German
Ich finde Freundlichkeit sehr wichtig.,Non-Harmful,German
Ich genieße ein gutes Essen mit der Familie.,Non-Harmful,German
"Ich mag es, im Garten zu arbeiten.",Non-Harmful,German
Ich liebe den Geruch von frisch gemähtem Gras.,Non-Harmful,German
Ich mag lange Fahrradtouren.,Non-Harmful,German
Ich freue mich immer auf neue Abenteuer.,Non-Harmful,German
2g1c,Harmful,English
2 girls 1 cup,Harmful,English
acrotomophilia,Harmful,English
alabama hot pocket,Harmful,English
alaskan pipeline,Harmful,English
anal,Harmful,English
anilingus,Harmful,English
anus,Harmful,English
apeshit,Harmful,English
arsehole,Harmful,English
ass,Harmful,English
asshole,Harmful,English
assmunch,Harmful,English
auto erotic,Harmful,English
autoerotic,Harmful,English
babeland,Harmful,English
baby batter,Harmful,English
baby juice,Harmful,English
ball gag,Harmful,English
ball gravy,Harmful,English
ball kicking,Harmful,English
ball licking,Harmful,English
ball sack,Harmful,English
ball sucking,Harmful,English
bangbros,Harmful,English
bangbus,Harmful,English
bareback,Harmful,English
barely legal,Harmful,English
barenaked,Harmful,English
bastard,Harmful,English
bastardo,Harmful,English
bastinado,Harmful,English
bbw,Harmful,English
bdsm,Harmful,English
beaner,Harmful,English
beaners,Harmful,English
beaver cleaver,Harmful,English
beaver lips,Harmful,English
beastiality,Harmful,English
bestiality,Harmful,English
big black,Harmful,English
big breasts,Harmful,English
big knockers,Harmful,English
big tits,Harmful,English
bimbos,Harmful,English
birdlock,Harmful,English
bitch,Harmful,English
bitches,Harmful,English
black cock,Harmful,English
blonde action,Harmful,English
blonde on blonde action,Harmful,English
blowjob,Harmful,English
blow job,Harmful,English
blow your load,Harmful,English
blue waffle,Harmful,English
blumpkin,Harmful,English
bollocks,Harmful,English
bondage,Harmful,English
boner,Harmful,English
boob,Harmful,English
boobs,Harmful,English
booty call,Harmful,English
brown showers,Harmful,English
brunette action,Harmful,English
bukkake,Harmful,English
bulldyke,Harmful,English
bullet vibe,Harmful,English
bullshit,Harmful,English
bung hole,Harmful,English
bunghole,Harmful,English
busty,Harmful,English
butt,Harmful,English
buttcheeks,Harmful,English
butthole,Harmful,English
camel toe,Harmful,English
camgirl,Harmful,English
camslut,Harmful,English
camwhore,Harmful,English
carpet muncher,Harmful,English
carpetmuncher,Harmful,English
chocolate rosebuds,Harmful,English
cialis,Harmful,English
circlejerk,Harmful,English
cleveland steamer,Harmful,English
clit,Harmful,English
clitoris,Harmful,English
clover clamps,Harmful,English
clusterfuck,Harmful,English
cock,Harmful,English
cocks,Harmful,English
coprolagnia,Harmful,English
coprophilia,Harmful,English
cornhole,Harmful,English
coon,Harmful,English
coons,Harmful,English
creampie,Harmful,English
cum,Harmful,English
cumming,Harmful,English
cumshot,Harmful,English
cumshots,Harmful,English
cunnilingus,Harmful,English
cunt,Harmful,English
darkie,Harmful,English
date rape,Harmful,English
daterape,Harmful,English
deep throat,Harmful,English
deepthroat,Harmful,English
dendrophilia,Harmful,English
dick,Harmful,English
dildo,Harmful,English
dingleberry,Harmful,English
dingleberries,Harmful,English
dirty pillows,Harmful,English
dirty sanchez,Harmful,English
doggie style,Harmful,English
doggiestyle,Harmful,English
doggy style,Harmful,English
doggystyle,Harmful,English
dog style,Harmful,English
dolcett,Harmful,English
domination,Harmful,English
dominatrix,Harmful,English
dommes,Harmful,English
donkey punch,Harmful,English
double dong,Harmful,English
double penetration,Harmful,English
dp action,Harmful,English
dry hump,Harmful,English
dvda,Harmful,English
eat my ass,Harmful,English
ecchi,Harmful,English
ejaculation,Harmful,English
erotic,Harmful,English
erotism,Harmful,English
escort,Harmful,English
eunuch,Harmful,English
fag,Harmful,English
faggot,Harmful,English
fecal,Harmful,English
felch,Harmful,English
fellatio,Harmful,English
feltch,Harmful,English
female squirting,Harmful,English
femdom,Harmful,English
figging,Harmful,English
fingerbang,Harmful,English
fingering,Harmful,English
fisting,Harmful,English
foot fetish,Harmful,English
footjob,Harmful,English
frotting,Harmful,English
fuck,Harmful,English
fuck buttons,Harmful,English
fuckin,Harmful,English
fucking,Harmful,English
fucktards,Harmful,English
fudge packer,Harmful,English
fudgepacker,Harmful,English
futanari,Harmful,English
gangbang,Harmful,English
gang bang,Harmful,English
gay sex,Harmful,English
genitals,Harmful,English
giant cock,Harmful,English
girl on,Harmful,English
girl on top,Harmful,English
girls gone wild,Harmful,English
goatcx,Harmful,English
goatse,Harmful,English
god damn,Harmful,English
gokkun,Harmful,English
golden shower,Harmful,English
goodpoop,Harmful,English
goo girl,Harmful,English
goregasm,Harmful,English
grope,Harmful,English
group sex,Harmful,English
g-spot,Harmful,English
guro,Harmful,English
hand job,Harmful,English
handjob,Harmful,English
hard core,Harmful,English
hardcore,Harmful,English
hentai,Harmful,English
homoerotic,Harmful,English
honkey,Harmful,English
hooker,Harmful,English
horny,Harmful,English
hot carl,Harmful,English
