Text,Label,Language
du bist ein verdammtes arschloch,Harmful,German
deine mutter ist eine billige schlampe,Harmful,German
dein vater ist ein hurensohn,Harmful,German
du kleiner wichser halt die fresse,Harmful,German
du bist ein fettes stück scheiße,Harmful,German
ich pisse auf deine dumme fresse,Harmful,German
du stinkst wie kacke du bastard,Harmful,German
deine freundin ist eine dreckige nutte,Harmful,German
du dummer pisser verschwinde einfach,Harmful,German
dein gesicht sieht aus wie hackfresse,Harmful,German
geh zurück in das loch aus dem du gekrochen bist du fotze,Harmful,German
ich scheiß auf deinen arsch,Harmful,German
du bist ein hässlicher kleiner lümel,Harmful,German
deine schwester ist ein billiges flittchen,Harmful,German
du bist so dumm wie ein popel,Harmful,German
deine familie ist ein haufen scheißer,Harmful,German
ich ficke auf deine meinung,Harmful,German
du bist nur ein kleiner schwanzlutscher,Harmful,German
geh wichsen du penner,Harmful,German
deine mutter saugt wie eine möse,Harmful,German
ich scheiß auf deinen orgasmus,Harmful,German
du bist ein lächerlicher vollpfosten,Harmful,German
geh pinkeln bevor du hier redest du depp,Harmful,German
deine fresse erinnert mich an eine rosette,Harmful,German
du bist so widerlich wie eine kackwurst,Harmful,German
halt dein dreckiges maul du pimmel,Harmful,German
ich hoffe du erstickst an deinem eigenen popel,Harmful,German
deine freundin bumst jeden in der stadt,Harmful,German
deine eltern sind nur ein fehler der natur,Harmful,German
du bist so nutzlos wie ein poppen im regen,Harmful,German
deine mutter lutscht schwanz für kleingeld,Harmful,German
ich wichse lieber als dir zuzuhören,Harmful,German
dein ganzes leben ist ein porno für verlierer,Harmful,German
du bist ein dreckiger kleiner fickkopf,Harmful,German
deine freundin hat möpse wie gummi,Harmful,German
du bist einfach nur ein stück scheiße,Harmful,German
deine schwester bumst für einen döner,Harmful,German
du bist ein trauriges wichsendes arschloch,Harmful,German
deine ganze familie stinkt nach pisse,Harmful,German
du bist ein kleiner schwanz mit beinen,Harmful,German
ich pinkel auf dein grab,Harmful,German
dein gesicht sieht aus wie eine verbrannte möse,Harmful,German
ich hoffe du erstickst an deinem eigenen sperma,Harmful,German
du bist ein stinkender wixerischer versager,Harmful,German
deine mutter bumst für eine zigarette,Harmful,German
du bist so nackt wie dein hirn,Harmful,German
deine schwester macht es jedem für geld,Harmful,German
du bist ein erbärmlicher schwanzlutscher,Harmful,German
dein kopf ist leer wie ein pornodrehbuch,Harmful,German
deine ganze familie ist müll,Harmful,German
ich wünsche dir einen schönen tag,Non-Harmful,German
das wetter ist heute sehr schön,Non-Harmful,German
ich trinke gerne kaffee am morgen,Non-Harmful,German
meine familie liebt ausflüge ins grüne,Non-Harmful,German
ich lese gerne bücher in meiner freizeit,Non-Harmful,German
kinder sind unsere zukunft,Non-Harmful,German
ich höre gerne ruhige musik,Non-Harmful,German
sie hat eine sehr nette stimme,Non-Harmful,German
ich esse am liebsten pizza,Non-Harmful,German
der himmel ist heute besonders blau,Non-Harmful,German
ich liebe es durch den park zu spazieren,Non-Harmful,German
sport hält den körper gesund,Non-Harmful,German
ich schaue mir gerne filme an,Non-Harmful,German
ich mag tiere besonders katzen,Non-Harmful,German
freunde machen das leben schöner,Non-Harmful,German
ich trinke jeden morgen tee,Non-Harmful,German
meine oma backt die besten kuchen,Non-Harmful,German
ich gehe gerne schwimmen,Non-Harmful,German
lesen bildet den geist,Non-Harmful,German
ich liebe den duft von frischem brot,Non-Harmful,German
musik macht glücklich,Non-Harmful,German
ich lerne gerne neue sprachen,Non-Harmful,German
saubere luft ist wichtig für die gesundheit,Non-Harmful,German
blumen machen jeden raum schöner,Non-Harmful,German
ein lächeln kostet nichts,Non-Harmful,German
ich besuche gerne museen,Non-Harmful,German
das meer hat eine beruhigende wirkung,Non-Harmful,German
ich mag spaziergänge im wald,Non-Harmful,German
ich genieße meinen urlaub am see,Non-Harmful,German
ich schreibe gerne geschichten,Non-Harmful,German
kinderlachen macht mich glücklich,Non-Harmful,German
ich liebe es neue städte zu entdecken,Non-Harmful,German
eine tasse kaffee macht den morgen besser,Non-Harmful,German
ich male gerne in meiner freizeit,Non-Harmful,German
ich freue mich auf den frühling,Non-Harmful,German
kuchen schmeckt immer gut,Non-Harmful,German
ich spiele gerne gesellschaftsspiele,Non-Harmful,German
bücher sind gute freunde,Non-Harmful,German
ich finde sonnenuntergänge wunderschön,Non-Harmful,German
ich mag ruhige abende zu hause,Non-Harmful,German
ich höre gerne klassische musik,Non-Harmful,German
ich schätze gute gespräche mit freunden,Non-Harmful,German
ich gehe gern ins theater,Non-Harmful,German
ich koche gerne neue rezepte,Non-Harmful,German
ich finde freundlichkeit sehr wichtig,Non-Harmful,German
ich genieße ein gutes essen mit der familie,Non-Harmful,German
ich mag es im garten zu arbeiten,Non-Harmful,German
ich liebe den geruch von frisch gemähtem gras,Non-Harmful,German
ich mag lange fahrradtouren,Non-Harmful,German
ich freue mich immer auf neue abenteuer,Non-Harmful,German
gc,Harmful,English
girls cup,Harmful,English
acrotomophilia,Harmful,English
alabama hot pocket,Harmful,English
alaskan pipeline,Harmful,English
anal,Harmful,English
anilingus,Harmful,English
anus,Harmful,English
apeshit,Harmful,English
arsehole,Harmful,English
ass,Harmful,English
asshole,Harmful,English
assmunch,Harmful,English
auto erotic,Harmful,English
autoerotic,Harmful,English
babeland,Harmful,English
baby batter,Harmful,English
baby juice,Harmful,English
ball gag,Harmful,English
ball gravy,Harmful,English
ball kicking,Harmful,English
ball licking,Harmful,English
ball sack,Harmful,English
ball sucking,Harmful,English
bangbros,Harmful,English
bangbus,Harmful,English
bareback,Harmful,English
barely legal,Harmful,English
barenaked,Harmful,English
bastard,Harmful,English
bastardo,Harmful,English
bastinado,Harmful,English
bbw,Harmful,English
bdsm,Harmful,English
beaner,Harmful,English
beaners,Harmful,English
beaver cleaver,Harmful,English
beaver lips,Harmful,English
beastiality,Harmful,English
bestiality,Harmful,English
big black,Harmful,English
big breasts,Harmful,English
big knockers,Harmful,English
big tits,Harmful,English
bimbos,Harmful,English
birdlock,Harmful,English
bitch,Harmful,English
bitches,Harmful,English
black cock,Harmful,English
blonde action,Harmful,English
blonde on blonde action,Harmful,English
blowjob,Harmful,English
blow job,Harmful,English
blow your load,Harmful,English
blue waffle,Harmful,English
blumpkin,Harmful,English
bollocks,Harmful,English
bondage,Harmful,English
boner,Harmful,English
boob,Harmful,English
boobs,Harmful,English
booty call,Harmful,English
brown showers,Harmful,English
brunette action,Harmful,English
bukkake,Harmful,English
bulldyke,Harmful,English
bullet vibe,Harmful,English
bullshit,Harmful,English
bung hole,Harmful,English
bunghole,Harmful,English
busty,Harmful,English
butt,Harmful,English
buttcheeks,Harmful,English
butthole,Harmful,English
camel toe,Harmful,English
camgirl,Harmful,English
camslut,Harmful,English
camwhore,Harmful,English
carpet muncher,Harmful,English
carpetmuncher,Harmful,English
chocolate rosebuds,Harmful,English
cialis,Harmful,English
circlejerk,Harmful,English
cleveland steamer,Harmful,English
clit,Harmful,English
clitoris,Harmful,English
clover clamps,Harmful,English
clusterfuck,Harmful,English
cock,Harmful,English
cocks,Harmful,English
coprolagnia,Harmful,English
coprophilia,Harmful,English
cornhole,Harmful,English
coon,Harmful,English
coons,Harmful,English
creampie,Harmful,English
cum,Harmful,English
cumming,Harmful,English
cumshot,Harmful,English
cumshots,Harmful,English
cunnilingus,Harmful,English
cunt,Harmful,English
darkie,Harmful,English
date rape,Harmful,English
daterape,Harmful,English
deep throat,Harmful,English
deepthroat,Harmful,English
dendrophilia,Harmful,English
dick,Harmful,English
dildo,Harmful,English
dingleberry,Harmful,English
dingleberries,Harmful,English
dirty pillows,Harmful,English
dirty sanchez,Harmful,English
doggie style,Harmful,English
doggiestyle,Harmful,English
doggy style,Harmful,English
doggystyle,Harmful,English
dog style,Harmful,English
dolcett,Harmful,English
domination,Harmful,English
dominatrix,Harmful,English
dommes,Harmful,English
donkey punch,Harmful,English
double dong,Harmful,English
double penetration,Harmful,English
dp action,Harmful,English
dry hump,Harmful,English
dvda,Harmful,English
eat my ass,Harmful,English
ecchi,Harmful,English
ejaculation,Harmful,English
erotic,Harmful,English
erotism,Harmful,English
escort,Harmful,English
eunuch,Harmful,English
fag,Harmful,English
faggot,Harmful,English
fecal,Harmful,English
felch,Harmful,English
fellatio,Harmful,English
feltch,Harmful,English
female squirting,Harmful,English
femdom,Harmful,English
figging,Harmful,English
fingerbang,Harmful,English
fingering,Harmful,English
fisting,Harmful,English
foot fetish,Harmful,English
footjob,Harmful,English
frotting,Harmful,English
fuck,Harmful,English
fuck buttons,Harmful,English
fuckin,Harmful,English
fucking,Harmful,English
fucktards,Harmful,English
fudge packer,Harmful,English
fudgepacker,Harmful,English
futanari,Harmful,English
gangbang,Harmful,English
gang bang,Harmful,English
gay sex,Harmful,English
genitals,Harmful,English
giant cock,Harmful,English
girl on,Harmful,English
girl on top,Harmful,English
girls gone wild,Harmful,English
goatcx,Harmful,English
goatse,Harmful,English
god damn,Harmful,English
gokkun,Harmful,English
golden shower,Harmful,English
goodpoop,Harmful,English
goo girl,Harmful,English
goregasm,Harmful,English
grope,Harmful,English
group sex,Harmful,English
gspot,Harmful,English
guro,Harmful,English
hand job,Harmful,English
handjob,Harmful,English
hard core,Harmful,English
hardcore,Harmful,English
hentai,Harmful,English
homoerotic,Harmful,English
honkey,Harmful,English
hooker,Harmful,English
horny,Harmful,English
hot carl,Harmful,English
hot chick,Harmful,English
how to kill,Harmful,English
how to murder,Harmful,English
huge fat,Harmful,English
humping,Harmful,English
incest,Harmful,English
intercourse,Harmful,English
jack off,Harmful,English
jail bait,Harmful,English
jailbait,Harmful,English
jelly donut,Harmful,English
jerk off,Harmful,English
jigaboo,Harmful,English
jiggaboo,Harmful,English
jiggerboo,Harmful,English
jizz,Harmful,English
juggs,Harmful,English
kike,Harmful,English
kinbaku,Harmful,English
kinkster,Harmful,English
kinky,Harmful,English
knobbing,Harmful,English
leather restraint,Harmful,English
leather straight jacket,Harmful,English
lemon party,Harmful,English
livesex,Harmful,English
lolita,Harmful,English
lovemaking,Harmful,English
make me come,Harmful,English
male squirting,Harmful,English
masturbate,Harmful,English
masturbating,Harmful,English
